Celso Fonseca	Emilio Santiago	Marcelo Mariano with Bass / Bass"
Celso Fonseca	Tono (4)	Alberto Continentino with Bass / Electric Piano, Producer, Keyboards, Vibraphone, Synthesizer, Written By, Clavinet, Glockenspiel, Baritone Guitar"
Celso Fonseca	Tono (4)	Donatinho with Bass [Synth], Keyboards / Keyboards"
Celso Fonseca	Leny Andrade	José Alves with Violin / Double Bass"
Celso Fonseca	Danilo Caymmi	Alberto Continentino with Bass / Bass Guitar, Acoustic Bass"
Celso Fonseca	Silvia Machete	Alberto Continentino with Bass / Electric Piano, Acoustic Bass"
Celso Fonseca	Marcos Valle	Alberto Continentino with Bass / Electric Bass, Acoustic Bass"
Celso Fonseca	João Donato	Donatinho with Bass [Synth], Keyboards / Keyboards"
Celso Fonseca	Adriana Calcanhotto	Alberto Continentino with Bass / Guitar, Bass, Piano, Bass, Electric Piano [Fender Rhodes]"
João Ricardo (2)	Secos & Molhados	Willy Verdaguer with Arranged By, Bass / Bass"
Arto Lindsay	Marisa Monte	Melvin Gibbs with Producer / Bass"
Arto Lindsay	Adriana Calcanhotto	Kassin with Producer / Synthesizer, Electric Piano, Mixed By, Bass, Acoustic Guitar"
Arto Lindsay	Marcelo Jeneci	Kassin with Producer / Bass, Producer"
Mussum	Francis Hime	Wilson Das Neves with Drums / Bass, Drums"
Tania Maria	Ed Lincoln	Luiz Marinho with Bass / Bass"
Tania Maria	Turma Da Gafieira	Luiz Marinho with Bass / Bass"
Tania Maria	Eumir Deodato	Luiz Marinho with Bass / Bass, Bass "
Marcos Sabino	Kleiton & Kledir	Jamil Joanes with Bass / Bass"
Marcos Sabino	Octavio Burnier	Jamil Joanes with Bass / Bass"
Marcos Sabino	Marilia Barbosa	Jamil Joanes with Bass / Bass"
Marcos Sabino	Marina Lima	Jamil Joanes with Bass / Bass"
Marcos Sabino	Paulo André Barata	Jamil Joanes with Bass / Bass"
Marcos Sabino	Antonio Adolfo	Jamil Joanes with Bass / Bass, Acoustic Guitar, Bass"
